date,money,forecast
2024-07-02,192.02,188.2624371619811
2024-07-03,310.08,173.32991437545007
2024-07-04,60.74,163.08393815699182
2024-07-05,303.7,171.6869232086677
2024-07-06,164.1,154.98882973379577
2024-07-07,346.32,158.78712211139649
2024-07-08,139.6,170.67146748399054
2024-07-09,144.5,164.87930720559012
2024-07-10,83.76,162.37786772910158
2024-07-11,116.58,164.2489305496789
2024-07-12,154.3,163.13740046790764
2024-07-13,65.64,164.02046987590498
2024-07-14,172.42000000000002,164.95191042029137
2024-07-15,32.82,163.75712135584098
2024-07-16,60.74,163.6289740242072
2024-07-17,27.92,164.09948651330302
2024-07-18,312.02,163.98410154417596
2024-07-19,242.96,164.02770478036823
2024-07-20,200.33999999999997,164.06473911959472
2024-07-21,121.48,163.91594214925263
2024-07-22,106.78,163.95615898368183
2024-07-23,339.94,164.02818818648188
2024-07-24,330.14,163.9932325413417
2024-07-25,269.4,163.98737569269346
2024-07-26,461.42,163.9921827363496
2024-07-27,372.76,163.98050060152775
2024-07-28,78.86,163.99052932672996
2024-07-29,321.82,163.99650387731117
2024-07-30,650.48,163.98857338415212
2024-07-31,633.84,163.98831743415136
